name,era,url
José Costa,Romantic,https://www.cglib.org/category/romantic/costa-jose/
Onorato Costa,Romantic,https://www.cglib.org/category/romantic/costa-onorato/
Napoleon Coste,Romantic,https://www.cglib.org/category/romantic/coste-napoleon/
Alfred Cottin,Romantic,https://www.cglib.org/category/romantic/cottin-alfred/
A Cowell,Romantic,https://www.cglib.org/category/romantic/cowell-a/
G Cranz,Romantic,https://www.cglib.org/category/romantic/cranz-g-w-v/
John Thomas Craven,Romantic,https://www.cglib.org/category/romantic/craven-john-thomas/
Frederick William Nicholls Croft,Romantic,https://www.cglib.org/category/romantic/crouch-frederick-william-nicholls/
Saverio Cucci,Romantic,https://www.cglib.org/category/romantic/cucci-saverio/
Friedrich Curschmann,Romantic,https://www.cglib.org/category/romantic/curschmann-friedrich/
Carl Czerny,Romantic,https://www.cglib.org/category/romantic/czerny-carl/
J Dabedeille,Romantic,https://www.cglib.org/category/romantic/dabedeille-j/
Daidi,Romantic,https://www.cglib.org/category/romantic/daidi/
Tomas Damas,Romantic,https://www.cglib.org/category/romantic/damas-tomas/
J Darcier,Romantic,https://www.cglib.org/category/romantic/darcier-j-l/
Adam Darr,Romantic,https://www.cglib.org/category/romantic/darr-adam/
Johann Decker-Schenk,Romantic,https://www.cglib.org/category/romantic/decker-schenk-johann/
Soffren Degen,Romantic,https://www.cglib.org/category/romantic/degen-soffren/
Leo Delibes,Romantic,https://www.cglib.org/category/romantic/delibes-leo/
William R Dempster,Romantic,https://www.cglib.org/category/romantic/dempster-william-r/
George Henry Derwort,Romantic,https://www.cglib.org/category/romantic/derwort-george-henry/
P Desrivières,Romantic,https://www.cglib.org/category/romantic/desrivieres-p-rougeon/
Anton Diabelli,Romantic,https://www.cglib.org/category/romantic/diabelli-anton/
L Dietrich,Romantic,https://www.cglib.org/category/romantic/dietrich-l-v/
T Dipple,Romantic,https://www.cglib.org/category/romantic/dipple-t-j/
Susan Domett,Romantic,https://www.cglib.org/category/romantic/domett-susan/
T Domingo Palacio,Romantic,https://www.cglib.org/category/romantic/domingo-palacio-t/
Gaetano Donizetti,Romantic,https://www.cglib.org/category/romantic/donizetti-gaetano/
Justus Johann Friedrich Dotzauer,Romantic,https://www.cglib.org/category/romantic/dotzauer-justus-johann-friedrich/
Johann Dubez,Romantic,https://www.cglib.org/category/romantic/dubez-johann/
Jean Baptiste Duvernoy,Romantic,https://www.cglib.org/category/romantic/duvernoy-jean-baptiste/
Antonin Dvorak,Romantic,https://www.cglib.org/category/romantic/dvorak-antonin/
Georg Edel,Romantic,https://www.cglib.org/category/romantic/edel-georg/
Adolph Julius Eggers,Romantic,https://www.cglib.org/category/romantic/eggers-adolph-julius/
Juan Pedro Esnaola,Romantic,https://www.cglib.org/category/romantic/esnaola-juan-pedro/
J Etherington,Romantic,https://www.cglib.org/category/romantic/etherington-j/
Charles Eulenstein,Romantic,https://www.cglib.org/category/romantic/eulenstein-charles/
C Ewereng,Romantic,https://www.cglib.org/category/romantic/ewereng-c-g/
Joseph Fahrbach,Romantic,https://www.cglib.org/category/romantic/fahrbach-joseph/
Salvatore Falbo,Romantic,https://www.cglib.org/category/romantic/falbo-salvatore/
Gabriel Fauré,Romantic,https://www.cglib.org/category/romantic/faure-gabriel/
Giuseppe Fenoglio,Romantic,https://www.cglib.org/category/romantic/fenoglio-giuseppe/
Manuel Fernández Caballero,Romantic,https://www.cglib.org/category/romantic/fernandez-caballero-manuel/
Ettore Feroci,Romantic,https://www.cglib.org/category/romantic/feroci-ettore/
Aldo Ferrari,Romantic,https://www.cglib.org/category/romantic/ferrari-aldo/
Jose Ferrer Esteve,Romantic,https://www.cglib.org/category/romantic/ferrer-esteve-jose/
Manuel Y Ferrer,Romantic,https://www.cglib.org/category/romantic/ferrer-manuel-y/
Heinrich Fischer,Romantic,https://www.cglib.org/category/romantic/fischer-heinrich/
Wm Fletcher,Romantic,https://www.cglib.org/category/romantic/fletcher-wm-h/
Friedrich Flotow,Romantic,https://www.cglib.org/category/romantic/flotow-friedrich/
William Foden,Romantic,https://www.cglib.org/category/romantic/foden-william/
Chas Ford,Romantic,https://www.cglib.org/category/romantic/ford-chas/
Mario Foresi,Romantic,https://www.cglib.org/category/romantic/foresi-mario/
Severino Garcia Fortea,Romantic,https://www.cglib.org/category/romantic/fortea-severino-garcia/
Ferdinando Francia,Romantic,https://www.cglib.org/category/romantic/francia-ferdinando/
César Franck,Romantic,https://www.cglib.org/category/romantic/franck-cesar/
Johannes Frederik Frohlich,Romantic,https://www.cglib.org/category/romantic/frohlich-johannes-frederik/
C Fusani,Romantic,https://www.cglib.org/category/romantic/fusani-c-a/
Gustavo Gabet,Romantic,https://www.cglib.org/category/romantic/gabet-gustavo/
Niels W Gade,Romantic,https://www.cglib.org/category/romantic/gade-niels-w/
Charles de Gaertner,Romantic,https://www.cglib.org/category/romantic/gaertner-charles-de/
Salvatore Galea Abela,Romantic,https://www.cglib.org/category/romantic/galea-abela-salvatore/
A García,Romantic,https://www.cglib.org/category/romantic/garcia-a/
Manuel García,Romantic,https://www.cglib.org/category/romantic/garcia-manuel/
Enea Gardana,Romantic,https://www.cglib.org/category/romantic/gardana-enea/
Gatterman,Romantic,https://www.cglib.org/category/romantic/gatterman/
F Gaude,Romantic,https://www.cglib.org/category/romantic/gaude-f/
Leonard Gautier,Romantic,https://www.cglib.org/category/romantic/gautier-leonard/
Erik Gustaf Geijer,Romantic,https://www.cglib.org/category/romantic/geijer-erik-gustaf/
Pietro Generali,Romantic,https://www.cglib.org/category/romantic/generali-pietro/
Rudolf Gernlein,Romantic,https://www.cglib.org/category/romantic/gernlein-rudolf/
William T Gery,Romantic,https://www.cglib.org/category/romantic/gery-william-t/
Salvador Gil,Romantic,https://www.cglib.org/category/romantic/gil-salvador/
Andrea Gilardenghi,Romantic,https://www.cglib.org/category/romantic/gilardenghi-andrea/
Henri Noel Gilles,Romantic,https://www.cglib.org/category/romantic/gilles-henri-noel/
Emilia Giuliani-Guglielmi,Romantic,https://www.cglib.org/category/romantic/giuliani-guglielmi-emilia/
Alexander Glazunov,Romantic,https://www.cglib.org/category/romantic/glazunov-alexander/
Mikhail Glinka,Romantic,https://www.cglib.org/category/romantic/glinka-mikhail/
Stephen Ralph Glover,Romantic,https://www.cglib.org/category/romantic/glover-stephen-ralph/
S Godbé,Romantic,https://www.cglib.org/category/romantic/godbe-s/
Friedrich Karl Gollmick,Romantic,https://www.cglib.org/category/romantic/gollmick-friedrich-karl/
Florencio Gomez Parreno,Romantic,https://www.cglib.org/category/romantic/gomez-parreno-florencio/
José Melchor Gomis,Romantic,https://www.cglib.org/category/romantic/gomis-jose-melchor/
Charles Gondy,Romantic,https://www.cglib.org/category/romantic/gondy-charles/
Charles Gore,Romantic,https://www.cglib.org/category/romantic/gore-charles/
