name,era,url
Manuel Gonzalez-Nieto,Contemporary,https://www.cglib.org/category/20th-century/gonzalez-nieto-manuel/
Burt Griswold,Contemporary,https://www.cglib.org/category/20th-century/griswold-burt/
Camargo Guarnieri,Contemporary,https://www.cglib.org/category/20th-century/guarnieri-camargo/
Jacinto Guerrero,Contemporary,https://www.cglib.org/category/20th-century/guerrero-jacinto/
Sigfus Halldorsson,Contemporary,https://www.cglib.org/category/20th-century/halldorsson-sigfus/
Hilding Hallnäs,Contemporary,https://www.cglib.org/category/20th-century/hallnas-hilding/
Angel Hechenleitner,Contemporary,https://www.cglib.org/category/20th-century/hechenleitner-angel/
Bruno Henze,Contemporary,https://www.cglib.org/category/20th-century/henze-bruno/
Viktor Himelrajh,Contemporary,https://www.cglib.org/category/20th-century/himelrajh-viktor/
Alfred Holy,Contemporary,https://www.cglib.org/category/20th-century/holy-alfred/
Eduardo Lorenzo Hornos,Contemporary,https://www.cglib.org/category/20th-century/hornos-eduardo-lorenzo/
Mississippi John Hurt,Contemporary,https://www.cglib.org/category/20th-century/hurt-mississippi-john/
Walter Huttl,Contemporary,https://www.cglib.org/category/20th-century/huttl-walter/
Robert Johnson,Contemporary,https://www.cglib.org/category/20th-century/johnson-robert/
Scott Joplin,Contemporary,https://www.cglib.org/category/20th-century/joplin-scott/
Heino Kaski,Contemporary,https://www.cglib.org/category/20th-century/kaski-heino/
Armin Knab,Contemporary,https://www.cglib.org/category/20th-century/knab-armin/
Charles Koechlin,Contemporary,https://www.cglib.org/category/20th-century/koechlin-charles/
Alexander Ivanov Kramskoi,Contemporary,https://www.cglib.org/category/20th-century/kramskoi-alexander-ivanov/
Fritz Kreisler,Contemporary,https://www.cglib.org/category/20th-century/kreisler-fritz/
Geo C Krick,Contemporary,https://www.cglib.org/category/20th-century/krick-geo-c/
Pedro Larrandart,Contemporary,https://www.cglib.org/category/20th-century/larrandart-pedro/
Otto Lauenstein,Contemporary,https://www.cglib.org/category/20th-century/lauenstein-otto/
Antonio Lauro,Contemporary,https://www.cglib.org/category/20th-century/lauro-antonio/
Frank Lawes,Contemporary,https://www.cglib.org/category/20th-century/lawes-frank/
Hilarión Leloup,Contemporary,https://www.cglib.org/category/20th-century/leloup-hilarion/
J Lerman,Contemporary,https://www.cglib.org/category/20th-century/lerman-j-w/
Gilson de Lima,Contemporary,https://www.cglib.org/category/20th-century/lima-gilson-de/
Otto Lindblad,Contemporary,https://www.cglib.org/category/20th-century/lindblad-otto/
Carlo Lissoni,Contemporary,https://www.cglib.org/category/20th-century/lissoni-carlo/
Miguel Soles Llobet,Contemporary,https://www.cglib.org/category/20th-century/llobet-miguel-soles/
S Lope,Contemporary,https://www.cglib.org/category/20th-century/lope-s/
Joaquin López y Flores,Contemporary,https://www.cglib.org/category/20th-century/lopez-y-flores-joaquin/
J Luino,Contemporary,https://www.cglib.org/category/20th-century/luino-j/
Adolfo Luna,Contemporary,https://www.cglib.org/category/20th-century/luna-adolfo/
Bengt Lundin,Contemporary,https://www.cglib.org/category/20th-century/lundin-bengt/
Pino Lupo,Contemporary,https://www.cglib.org/category/20th-century/lupo-pino/
Cesare Lutzemberger,Contemporary,https://www.cglib.org/category/20th-century/lutzemberger-cesare/
Luis A Madormo,Contemporary,https://www.cglib.org/category/20th-century/madormo-luis-a/
Franco Magnoni,Contemporary,https://www.cglib.org/category/20th-century/magnoni-franco/
Albino Manique,Contemporary,https://www.cglib.org/category/20th-century/manique-albino/
Antonio Jimenez Manjon,Contemporary,https://www.cglib.org/category/20th-century/manjon-antonio-jimenez/
Teodoro Marin,Contemporary,https://www.cglib.org/category/20th-century/marin-teodoro/
Franck Martin,Contemporary,https://www.cglib.org/category/20th-century/martin-franck/
Antonio Martínez,Contemporary,https://www.cglib.org/category/20th-century/martinez-antonio/
Juan Carlos Martinez,Contemporary,https://www.cglib.org/category/20th-century/martinez-juan-carlos/
Pietro Mascagni,Contemporary,https://www.cglib.org/category/20th-century/mascagni-pietro/
